Identificación,Número de Matrícula,Estado de la matrícula,nombre,Categoria de la Matrícula,Tipo de Sociedad,Tipo Organización,Cámara de Comercio,Fecha de Matrícula,Fecha de Vigencia,Fecha de Cancelación,Último año renovado,Fecha de renovación,Fecha de Actualización,Motivo Cancelación,Emprendimiento Social,Extinción de Dominio
CEDULA DE CIUDADANIA 11111,37845,Activa,F & F FITNESS AND FIRST AID S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Dosquebradas,2011/08/16,Indefinido,,0,,2020/11/12,NORMAL,,
NIT 900563351 - 0,40570,Activa,F&O CENTRO ESPECIALIZADO EN TRANSPORTE DE CARGA S.A.S. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Dosquebradas,2012/10/18,Indefinido,,0,,2020/11/15,NORMAL,,
NIT 901483397 - 9,62300,Activa,F&J CONSTRUCCIONES Y MANTENIMIENTO S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Dosquebradas,2021/05/06,Indefinido,,2024,2024/04/26,2024/04/26,NORMAL,N,
NIT 800081910 - 4,19188,Activa,MODULOS A F C LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Aburra sur,1993/07/30,1995/04/09,,0,,2020/11/13,NORMAL,,
NIT 890916606 - 0,29771,Activa,OSCAR SANCHEZ F Y CIA LTDA EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Aburra sur,1993/11/18,2021/11/23,,0,,2020/11/15,NORMAL,,
NIT 811003963 - 3,43249,Activa,LUIS F. LOPEZ Y CIA. LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Aburra sur,1996/02/15,2046/02/11,,0,,2020/11/13,NORMAL,,
NIT 811005138 - 5,44973,Activa,MUEBLES JHON F. Y CIA. LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Aburra sur,1996/05/16,2006/03/29,,0,,2020/11/14,NORMAL,,
NIT 900173119 - 4,120334,Activa,COMERCIALIZADORA INTERNACIONAL GERVERAS ROSAS & FOLLAJES S.A. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad anonima,Aburra sur,2007/09/13,2027/08/13,,2008,2008/05/19,2020/11/13,NORMAL,,
NIT 900175809 - 7,120646,Activa,ASERRIOS F E M LTDA. EN LIQUIDACION,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Aburra sur,2007/09/27,2017/09/24,,2008,2008/04/18,2020/11/13,NORMAL,,
NIT 901683958 - 9,118669,Activa,AUTOSERVICIO F Y L S.A.S - ZOMAC,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Sur y oriente del tolima,2023/02/16,Indefinido,,2023,2023/02/16,2023/02/20,NORMAL,,
