Identificación,Número de Matrícula,Estado de la matrícula,nombre,Categoria de la Matrícula,Tipo de Sociedad,Tipo Organización,Cámara de Comercio,Fecha de Matrícula,Fecha de Vigencia,Fecha de Cancelación,Último año renovado,Fecha de renovación,Fecha de Actualización,Motivo Cancelación,Emprendimiento Social,Extinción de Dominio
NIT 901277486 - 3,64569012,Activa,THE COMPANY PAK S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/04/25,Indefinido,,2021,2021/03/29,2022/08/23,,,
NIT 901279443 - 6,64623912,Activa,"TAISHOKU A&M S.A.S ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/05/02,Indefinido,,2019,2019/05/02,2024/04/20,,,
NIT 901287388 - 2,64822712,Activa,A&A PROYECTOS DE INGENIERIA S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/05/24,Indefinido,,2022,2022/03/31,2022/04/01,,,
NIT 901288522 - 8,64854812,Activa,A SU SERVICIO F&M S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/05/28,Indefinido,,2023,2023/05/18,2023/05/18,,,
NIT 901293119 - 2,64965712,Activa,AGUIRRE Y RINCÓN S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/06/11,Indefinido,,2022,2022/03/30,2022/03/30,,,
NIT 901300642 - 4,65175412,Activa,A-2TECH S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/07/08,Indefinido,,2023,2023/04/20,2023/04/20,,,
NIT 901300549 - 7,65175512,Activa,CONSTRUCTORA G&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/07/08,Indefinido,,2024,2024/01/25,2024/01/25,,,
NIT 900877319 - 2,65178712,Activa,MASFOG S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/07/08,Indefinido,,2021,2021/03/17,2021/05/15,,,
NIT 901301041 - 2,65187612,Activa,SELECT SERVICIOS L & A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/07/09,Indefinido,,2024,2024/02/27,2024/02/27,,,
NIT 901303650 - 7,65252612,Activa,"A&G ADMINISTRACION PROPIEDAD HORIZONTAL S.A.S ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/07/16,Indefinido,,2021,2021/03/08,2021/08/06,,,
NIT 901346060 - 6,66288712,Activa,INSTALACIONES A&C COLOMBIA S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/12/04,Indefinido,,2024,2024/03/15,2024/03/15,,,
NIT 901351376 - 8,66373012,Activa,AYUDA A TIEMPO ASISTENCIA S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/12/26,Indefinido,,2021,2021/04/01,2021/05/15,,,
NIT 901354443 - 7,66379012,Activa,M&A MANTENIMIENTO Y ACABADOS S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2019/12/30,Indefinido,,2021,2021/03/31,2022/02/24,,,
NIT 901357738 - 8,66536212,Activa,IMPORTADORA DE REPUESTOS SATHO S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/01/22,Indefinido,,2023,2023/03/31,2023/04/01,,,
NIT 901358175 - 6,66543712,Activa,A & B GRUPO INMOBILIARIO S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/01/22,Indefinido,,2023,2023/03/31,2023/04/01,,,
NIT 901376974 - 0,67101912,Activa,RENTAS E INVERSIONES A&M S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/03/13,Indefinido,,2024,2024/04/18,2024/04/22,,,
NIT 901379135 - 1,67151412,Activa,SUMINISTROS GENERALES B&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/03/20,Indefinido,,2024,2024/04/01,2024/04/01,,,
NIT 901407075 - 9,67156312,Activa,SOLUCIONES MULTISERVICIOS DIA A DIA S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/03/24,Indefinido,,2024,2024/04/01,2024/04/08,,,
NIT 901393633 - 6,67592903,Activa,SEGUROS INTEGRALES L&A AGENCIA DE SEGUROS LTDA,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedad limitada,Medellin para antioquia,2020/07/10,Indefinido,,2021,2021/09/06,2021/09/06,,,
NIT 901405496 - 7,67838412,Activa,CONSTRUCTORA A&R CONSTRUCCIONES Y ACABADOS S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/08/26,Indefinido,,2022,2022/03/31,2022/04/01,,,
NIT 901417177 - 4,68041912,Activa,"TODO A SU TIEMPO S.A.S. ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/09/25,Indefinido,,2020,2020/09/25,2022/09/23,,,
NIT 901416368 - 1,68074512,Activa,A & A PROYECTOS Y SUMINISTROS S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/09/30,Indefinido,,2022,2022/07/07,2022/07/07,,,
NIT 901421639 - 0,68180212,Activa,J & A MARKETING GROUP S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/10/15,Indefinido,,2021,2021/04/12,2021/05/14,,,
NIT 901425460 - 8,68289612,Activa,COMERCIALIZADORA SPECIAL A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/10/28,Indefinido,,2023,2023/05/20,2023/09/27,,,
NIT 901430924 - 3,68418412,Activa,ASESORIA Y APOYO EMPRESARIAL A&C S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/11/17,Indefinido,,2022,2022/03/30,2023/09/19,,,
NIT 901198907 - 3,68563212,Activa,A&H MANTENIMIENTO S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/07/13,Indefinido,,2021,2021/03/31,2021/10/20,,,
NIT 901440178 - 8,68637712,Activa,GRUPO DE INVERSIONES A&R S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2020/12/17,Indefinido,,2023,2023/03/30,2023/03/30,,,
NIT 901447513 - 4,68726212,Activa,ASDELTA ADVISING S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/01/08,Indefinido,,2021,2021/01/08,2023/09/08,,,
NIT 901477051 - 1,69617212,Activa,PRACTIFRUTA S. A. S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/04/19,Indefinido,,2022,2022/03/24,2023/01/01,,,
NIT 901480630 - 7,69688112,Activa,A&A FREEDOM SOLUTIONS S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/04/28,Indefinido,,2023,2023/03/16,2023/03/16,,,
NIT 901482331 - 9,69717212,Activa,A.A MONTAJES S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/05/04,Indefinido,,2022,2022/05/29,2022/05/29,,,
NIT 901489043 - 4,69871312,Activa,DISTRIBUIDORA SPECIAL A JEANS S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/05/28,Indefinido,,2023,2023/07/24,2023/07/24,,,
NIT 901489656 - 9,69883512,Activa,GANADERIA RANCHO VELEZ S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/05/31,Indefinido,,2023,2023/09/04,2023/09/04,,,
NIT 901489654 - 4,69890512,Activa,SERVICES AND CONSULTING C&A S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/06/01,Indefinido,,2021,2021/06/01,2021/06/01,,,
NIT 901489778 - 9,69892012,Activa,A+ A ARQUITECTURA Y CONSTRUCCIONES S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/06/01,2041/05/03,,2023,2023/12/11,2023/12/11,,,
NIT 901498132 - 1,70089512,Activa,ATINO J&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/07/01,Indefinido,,2021,2021/07/01,2022/05/04,,,
NIT 901508918 - 6,70358312,Activa,COMERCIALIZADORA EL YARUMO J Y A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/08/06,Indefinido,,2022,2022/03/31,2023/04/01,,,
NIT 901511808 - 5,70427012,Activa,"LUBRICANTES SEXUALES SI A TODO SAS ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/08/17,Indefinido,,2024,2024/04/29,2024/05/03,,,
NIT 901511788 - 6,70431112,Activa,CASCOS Y ACCESORIOS J&A S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/08/17,Indefinido,,2023,2023/03/28,2023/03/28,,,
NIT 901529201 - 4,70922512,Activa,DE ANGELES A & V S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/10/08,Indefinido,,2022,2022/04/22,2022/04/22,,,
NIT 901530684 - 1,70965112,Activa,LLEVALO A LA MESA S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/10/13,Indefinido,,2021,2021/10/13,2021/10/13,,,
NIT 901545892 - 0,71331312,Activa,C Y A CONSTRUCTORA PLAYA REAL S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/12/02,Indefinido,,2022,2022/07/07,2023/11/07,,,
NIT 901549007 - 7,71396412,Activa,ALQUILER EDUAR AP COMPAÑIA S. A. S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/12/15,Indefinido,,2021,2021/12/15,2022/05/04,,,
NIT 901549362 - 7,71405112,Activa,MINIMAL INVESTMENTS GROUP S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2021/12/16,Indefinido,,2021,2021/12/16,2022/05/03,,,
NIT 901552686 - 9,71465012,Activa,A Y M SOLUCIONES DIESEL S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/01/03,Indefinido,,2022,2022/01/03,2022/08/03,,,
NIT 901571298 - 5,71971912,Activa,CREAR A&V S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/03/02,Indefinido,,2022,2022/03/02,2022/03/02,,,
NIT 901571820 - 0,71981612,Activa,INDATUM S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/03/03,Indefinido,,2024,2024/03/31,2024/04/03,,,
NIT 901572424 - 1,72001112,Activa,A&C CONSULTORIA Y TECNOLOGIA SAS,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/03/04,Indefinido,,2022,2022/03/04,2024/04/30,,,
NIT 901579812 - 8,72243112,Activa,A&C SERVICIOS EMPRESARIALES S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/03/29,Indefinido,,2022,2022/03/29,2023/05/01,,,
NIT 901607173 - 0,73021412,Activa,OTERO 365 S. A. S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/06/22,Indefinido,,2022,2022/06/22,2023/05/04,,,
NIT 901611990 - 7,73152112,Activa,PRODUCTOS AIYANÁ S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/07/11,Indefinido,,2023,2023/05/19,2023/05/19,,,
NIT 901619513 - 3,73367512,Activa,A&A POSADA S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/08/03,Indefinido,,2024,2024/04/02,2024/04/02,,,
NIT 901624122 - 7,73483712,Activa,IMMILANDIAN S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/08/18,Indefinido,,2022,2022/08/18,2023/05/01,,,
NIT 901624537 - 1,73498212,Activa,FILON DEL ESTE GOLD MINES S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/08/18,Indefinido,,2022,2022/08/18,2024/04/10,,,
NIT 901641082 - 2,73896912,Activa,CONSTRUCCION E INGENIERIA A&Z S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/10/05,Indefinido,,2024,2024/03/30,2024/03/30,,,
NIT 901642586 - 7,73924012,Activa,TEÑIDOS Y MODAS S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/10/10,Indefinido,,2022,2022/10/10,2023/05/01,,,
NIT 901654226 - 2,73945612,Activa,COMERCIALIZADORA LA COSECHA DEL CAMPO A LA CIUDAD S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/10/12,Indefinido,,2022,2022/10/12,2022/11/18,,,
NIT 901648872 - 6,74090712,Activa,FINANZAS A LA MANO SAS,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/10/28,Indefinido,,2023,2023/12/31,2024/02/27,,,
NIT 901649767 - 5,74102512,Activa,CORPORACION LLIKANO S. A. S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/10/31,Indefinido,,2022,2022/10/31,2022/11/01,,,
NIT 901656542 - 4,74272112,Activa,A LA CARTA VIAJES Y DESTINOS S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/11/22,Indefinido,,2023,2023/03/17,2023/03/17,,,
NIT 901656632 - 9,74284712,Activa,INVERSIÓN A&B S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/11/22,Indefinido,,2024,2024/03/20,2024/03/20,,,
SIN IDENTIFICACION,74337712,Activa,ASSOCIATED INVESTORS F&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/11/30,Indefinido,,2022,2022/11/30,2022/12/01,,,
NIT 901663345 - 9,74410512,Activa,PROYECTO INMOBILIARIO R&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/12/14,Indefinido,,2024,2024/10/25,2024/10/25,,N,
NIT 901667558 - 9,74483212,Activa,CONSTRUCCIONES Y MANTENIMIENTOS J & A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2022/12/28,2037/12/29,,2024,2024/02/05,2024/02/05,,,
NIT 901672299 - 6,74573712,Activa,GRUPO A 'TORRES SAS,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/16,Indefinido,,2024,2024/04/08,2024/04/08,,,
NIT 901672128 - 5,74586912,Activa,INSUMEDIC F&A S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/17,Indefinido,,2023,2023/01/17,2024/05/02,,,
NIT 901672648 - 3,74600212,Activa,MONTAJES A&G S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/19,Indefinido,,2024,2024/04/01,2024/04/02,,,
NIT 901673074 - 0,74617012,Activa,A&D PARALELO CONSTRUCCIONES SAS,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/20,Indefinido,,2023,2023/01/20,2024/05/02,,,
NIT 901674025 - 4,74631012,Activa,A&F ASESORIAS FINANZAS Y PROYECTOS RET-OT SAS,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/23,Indefinido,,2023,2023/01/23,2024/05/02,,,
NIT 901678293 - 1,74639812,Activa,EXCEDENTES SUROESTE S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/24,Indefinido,,2023,2023/01/24,2023/02/06,,,
NIT 901676226 - 7,74679312,Activa,GOMEZ PALACIO PLOMERIA S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/27,Indefinido,,2023,2023/01/27,2023/01/30,,,
NIT 901677146 - 0,74703112,Activa,RENT A CAR VELOCITY S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/01/31,Indefinido,,2024,2024/03/31,2024/03/31,,,
NIT 901677457 - 6,74723912,Activa,INVERSORA CASA A S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/02/01,Indefinido,,2023,2023/02/01,2024/06/18,,,
NIT 901684017 - 8,74866912,Activa,A&J MONTAJES Y SOLDADURAS S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/02/17,Indefinido,,2023,2023/02/17,2024/05/03,,,
NIT 901689378 - 4,75011712,Activa,CHATARRERIA C&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/03/02,Indefinido,,2024,2024/06/19,2024/06/19,,,
NIT 901692904 - 1,75097112,Activa,AGROINVERSIONES 45 SAN MIGUEL S. A. S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/03/13,Indefinido,,2023,2023/03/13,2023/03/13,,,
NIT 901697889 - 1,75176112,Activa,EL MANGUERO S A S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2023/03/21,Indefinido,,2024,2024/03/27,2024/07/15,,,
NIT 901074621 - 1,58765812,Activa,DE CEROS A ACABADOS S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/04/25,Indefinido,,2022,2022/03/31,2022/03/31,,,
NIT 901074985 - 5,58767712,Activa,"ZONA A PROPIEDAD HORIZONTAL S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/04/25,Indefinido,,2018,2018/03/31,2023/04/21,,,
NIT 901083604 - 2,59020312,Activa,"DISTRIBUIDORA A GRANEL EL PUNTO DEL POLLO S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/05/26,2037/05/26,,2017,2017/05/26,2022/04/22,,,
NIT 901085161 - 0,59062012,Activa,"A & M ACABADOS SAS ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/06/01,Indefinido,,2018,2018/04/09,2023/04/21,,,
NIT 901092533 - 6,59267412,Activa,INVESTMENTS S. P&A SAS,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/06/28,Indefinido,,2023,2023/03/30,2023/07/24,,,
NIT 901096298 - 8,59369712,Activa,ENFERMERA A SU SERVICIO S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/07/11,Indefinido,,2022,2022/03/31,2022/12/29,,,
NIT 901097346 - 8,59394812,Activa,"MIAMI RENT A CAR CORP S.A.S ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/07/14,Indefinido,,2017,2017/07/14,2022/04/22,,,
NIT 901098173 - 5,59418812,Activa,TU SPA A DOMICILIO S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/07/17,Indefinido,,2023,2023/01/19,2023/03/07,,,
NIT 901100734 - 5,59485512,Activa,"AGROINVERSIONES P&A SAS ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/07/26,Indefinido,,2017,2017/07/26,2022/04/22,,,
NIT 901101881 - 4,59516712,Activa,"MADEACEROS M&A SAS ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/07/31,Indefinido,,2018,2018/06/19,2023/04/21,,,
NIT 901101969 - 3,59518612,Activa,"A&C PROJECT S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/07/31,Indefinido,,2017,2017/07/31,2022/04/22,,,
NIT 901102737 - 6,59538112,Activa,ROLLING RENT A CAR S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/08/02,Indefinido,,2022,2022/03/31,2022/03/31,,,
NIT 901105017 - 5,59599112,Activa,"DISTRIBUCIONES B & A S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/08/10,Indefinido,,2018,2018/03/28,2023/10/19,,,
NIT 901109505 - 6,59720212,Activa,"CONSTRUCCIONES Y MEJORAS TRIPLE A S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/08/28,Indefinido,,2017,2017/08/28,2022/04/22,,,
NIT 901109849 - 4,59727312,Activa,ESTIBAS H&A S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/08/29,Indefinido,,2023,2023/06/17,2024/02/01,,,
NIT 901112375 - 6,59774112,Activa,"AGROPECUARIA Y LECHERIA LAS VIOLETAS S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/09/05,2067/07/26,,2019,2019/03/15,2024/04/20,,,
NIT 901114695 - 7,59868712,Activa,JPC HARDWARE & SOFTWARE S. A. S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/09/14,Indefinido,,2024,2024/03/07,2024/06/13,,,
NIT 901131278 - 0,60300312,Activa,SERVICIO DE LAVADO AUTOMOTRIZ UNO A S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/11/14,Indefinido,,2023,2023/03/30,2023/03/30,,,
NIT 901132204 - 0,60314612,Activa,ALAS TRIPLE A S.A.S,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2017/11/15,Indefinido,,2023,2023/03/30,2023/03/30,,,
NIT 901149933 - 6,60699112,Activa,"CONSTRUCTORA C S A S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/01/23,Indefinido,,2019,2019/04/01,2024/04/20,,,
NIT 901148430 - 9,60715712,Activa,"ADITIVOS Y ACABADOS GRAFICOS S.A.S ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/01/24,Indefinido,,2018,2018/01/24,2023/04/21,,,
NIT 901158793 - 1,61048012,Activa,"CREACIONES SUSANA A S.A.S. ""EN LIQUIDACIÓN""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/02/23,Indefinido,,2018,2018/02/23,2023/04/21,,,
NIT 901161268 - 5,61124112,Activa,"A&P ASESORIAS SAS ""EN LIQUIDACION""",Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/03/05,Indefinido,,2019,2019/04/01,2023/10/31,,,
NIT 901163806 - 7,61211312,Activa,CONSTRUCCIONES Y ALTURAS A&D S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/03/13,Indefinido,,2024,2024/04/01,2024/04/01,,,
NIT 901164945 - 7,61244712,Activa,COMERCIALIZADORA AMBAR A Y Z S.A.S.,Sociedad ó persona juridica principal ó esal,Sociedad comercial,Sociedades por acciones simplificadas sas,Medellin para antioquia,2018/03/15,Indefinido,,2022,2022/03/30,2022/03/30,,,
